stud_no,firstname,lastname,gender,avg_grade,IQ,birthdate,hometown
1732,Jeff,Brooks,Female,2.120833,81,6/13/1984 0:00,SAN FERNANDO
1733,Linnie,Bryant,Female,2.283333,85,8/21/1984 0:00,LAPU-LAPU CITY
1734,Eddie,Wong,Male,1.388461,106,1/15/1984 0:00,BISLIG
1735,Lizzie,Gregory,Male,1.5,107,5/24/1984 0:00,CARCAR
1736,Barry,Vargas,Female,2.47037,76,8/31/1984 0:00,SURIGAO CITY
1737,Connor,Henry,Female,1.796153,99,6/7/1984 0:00,COTABATO CITY
1738,May,Bass,Male,2.425,98,2/27/1984 0:00,KANANGA
1739,Irene,James,Male,2.606896,84,9/18/1985 0:00,LAPU-LAPU CITY
1740,Norman,Neal,Female,2.162068,84,11/30/1984 0:00,SURIGAO CITY
1741,Maggie,Fox,Male,1.847826,99,3/15/1984 0:00,SAMBOAN
1742,Christopher,Simon,Female,1.933333,103,11/14/1984 0:00,SAMBOAN
1743,Todd,Underwood,Male,2.144827,94,10/18/1984 0:00,SAN JUAN (CABALIAN)
1744,Ina,Kennedy,Female,1.66923,104,7/28/1984 0:00,TOLEDO CITY
1745,Alan,Castillo,Female,2.138461,111,9/17/1984 0:00,MANDAUE CITY
1746,Leon,Rose,Male,2.75238,77,2/28/1984 0:00,ORMOC CITY
1747,Olga,Harris,Male,2.01923,97,9/3/1983 0:00,KALILANGAN
1748,Lester,Ray,Male,1.87826,101,10/30/1984 0:00,BAYBAY
1749,Darrell,Tran,Female,1.857692,108,4/19/1984 0:00,ARGAO
1750,Terry,Francis,Female,1.903846,110,6/26/1984 0:00,MANDAUE CITY
1751,Ina,Mathis,Male,1.768,104,10/18/1984 0:00,CATAINGAN
1752,Barbara,Wright,Female,2.420689,91,7/6/1984 0:00,MANDAUE CITY
1753,Julian,Ward,Female,2.393103,80,4/27/1984 0:00,PALO
1754,Lura,Holmes,Male,1.917241,90,11/7/1984 0:00,DIMASALANG
1755,Seth,Pope,Female,2.107692,101,3/8/1985 0:00,MAASIN CITY
1756,Martin,Rice,Female,1.380769,126,1/1/1984 0:00,CEBU CITY
1757,Roger,Craig,Female,2.231034,102,10/4/1984 0:00,CONSOLACION
1758,Lawrence,Goodwin,Male,2.434482,103,5/27/1984 0:00,MANDAUE CITY
1759,Margaret,Joseph,Male,2.251724,99,7/20/1984 0:00,CEBU CITY
1760,Bertha,Turner,Male,2.41923,85,2/11/1984 0:00,ORMOC CITY
1761,Bill,Farmer,Male,2.389655,104,9/21/1984 0:00,ARGAO
1762,Lina,Willis,Male,2.527586,80,4/17/1985 0:00,BONTOC
1763,Travis,Andrews,Male,2.1,104,5/10/1983 0:00,CEBU CITY
1764,Lloyd,Jones,Female,2.26,96,3/10/1984 0:00,LILOAN
1765,Bradley,Barnett,Female,2.763636,106,5/1/1984 0:00,COMPOSTELA
1766,Martin,Hart,Female,2.447058,83,3/31/1984 0:00,CEBU CITY
1767,Ina,Fowler,Female,2.503448,95,11/13/1983 0:00,TALISAY
1768,Harry,Stevenson,Female,1.707692,106,7/7/1984 0:00,CEBU CITY
1769,Sean,Stephens,Female,2.490909,82,1/14/1984 0:00,ORMOC CITY
1770,Martin,Hodges,Male,2.254545,92,2/2/1984 0:00,CEBU CITY
1771,Jimmy,Fitzgerald,Female,2.141379,92,3/17/1984 0:00,NAGA
1772,Paul,Goodwin,Male,2.284615,88,8/16/1984 0:00,CEBU CITY
1773,Shawn,Vega,Female,0,86,10/9/1984 0:00,NAGA
1774,Edward,Allen,Female,2.383333,98,9/25/1984 0:00,CEBU CITY
1775,Olive,Mathis,Male,1.569565,102,2/25/1984 0:00,MANDAUE CITY
1776,Allen,Dixon,Male,2.133333,107,6/15/1984 0:00,CENTRAL PLACER
1777,Leonard,Fuller,Female,2.304166,108,3/7/1984 0:00,MINGLANILLA
1778,Carrie,Morrison,Female,1.576923,97,3/6/1984 0:00,CONSOLACION
1779,Adeline,Yates,Male,1.830769,101,9/27/1984 0:00,MANDAUE CITY
1780,Brent,Lawrence,Female,2.27826,111,10/30/1984 0:00,CEBU CITY
1781,Bradley,Baldwin,Male,1.588461,97,5/17/1984 0:00,CEBU CITY
1782,Alberta,Sharp,Male,1.923076,91,3/23/1984 0:00,"JAGNA,"
1783,Gregory,Brown,Female,1.924,94,12/27/1983 0:00,POB. ARGAO
1784,Matthew,Stevens,Male,2.520689,91,12/2/1984 0:00,TOLEDO CITY
1785,Vincent,Hampton,Male,2.308,97,7/28/1984 0:00,BORBON
1786,Nora,Crawford,Female,2.442307,76,3/10/1985 0:00,CONSOLACION
1787,Isabella,Walker,Male,1.636,101,1/19/1984 0:00,TABUELAN
1788,Lela,Gutierrez,Female,2.476923,96,7/5/1984 0:00,"CEBU CITY,"
1789,Alejandro,Cook,Male,2.361538,95,10/18/1984 0:00,LAPU-LAPU CITY
1790,Gordon,Porter,Female,2.1,98,2/23/1984 0:00,CEBU CITY
1791,Bruce,Burns,Female,2.392307,82,7/5/1984 0:00,MANDAUE CITY
1792,Howard,Foster,Male,2.844444,82,4/17/1984 0:00,MANDAUE CITY
1793,Cameron,Pratt,Male,2.6,103,5/8/1984 0:00,CALBAYOG CITY
1794,Willie,Romero,Female,2.696551,91,10/28/1983 0:00,TALISAY CITY
1795,Cynthia,Marsh,Female,2.492307,88,10/11/1984 0:00,LAPU-LAPU CITY
1796,Gabriel,Howell,Female,1.913793,101,7/24/1984 0:00,NAGA
1797,Essie,Burton,Female,1.603846,103,5/30/1984 0:00,"DALAGUETE,"
1798,Hilda,Mathis,Male,2.544,83,5/17/1984 0:00,CARCAR
1799,Sarah,Tran,Male,1.972413,116,12/2/1984 0:00,CEBU CITY
1800,Lina,Ramsey,Female,2.373913,108,9/30/1984 0:00,SIBONGA
1801,Steven,Armstrong,Male,2.138461,102,5/14/1984 0:00,CONSOLACION
1802,Effie,Ford,Female,2.323076,104,1/13/1984 0:00,Liloan
1803,Rosalie,Sanders,Male,2.626315,106,10/13/1984 0:00,Cebu City 6000 CEBU
1804,Curtis,Chapman,Female,1.888461,94,1/10/1985 0:00,CEBU CITY
1805,Terry,Lopez,Male,2.182758,97,7/7/1984 0:00,LAPU-LAPU CITY
1806,Jean,Smith,Female,1.95,95,1/30/1984 0:00,CEBU CITY
1807,Christina,Riley,Male,2.2,76,6/4/1984 0:00,CALBAYOG CITY
1808,Mae,Hudson,Female,2.45,95,9/3/1983 0:00,MANDAUE CITY
1809,Phoebe,Garrett,Male,1.741666,108,9/2/1984 0:00,CEBU CITY
1810,Connor,Weber,Female,2.337931,104,11/26/1985 0:00,RONDA
1811,Ophelia,Fuller,Female,1.95,106,2/9/1984 0:00,CONSOLACION
1812,Virginia,Mason,Female,2.054166,107,9/11/1984 0:00,AURORA
1813,Lura,Paul,Male,1.530769,89,1/16/1985 0:00,COMPOSTELA
1814,Cynthia,Valdez,Female,2.341666,90,7/16/1984 0:00,LAPU-LAPU CITY
1815,Chester,Padilla,Female,2.4,89,9/24/1983 0:00,LAPU-LAPU CITY
1816,Benjamin,Hernandez,Male,2.027586,92,4/6/1984 0:00,CEBU CITY
1817,Philip,Pratt,Female,1.865384,98,7/27/1984 0:00,LAPU-LAPU CITY
1818,Melvin,Gilbert,Male,2.255172,82,10/22/1983 0:00,DOLORES
1819,Theresa,Steele,Male,1.756521,101,8/1/1984 0:00,CEBU CITY
1820,Jimmy,Ross,Male,2.325,89,4/13/1984 0:00,NAVAL
1821,Kyle,Alvarado,Male,1.407692,99,2/3/1985 0:00,CARCAR
1822,Russell,Bowers,Female,1.45,125,3/3/1984 0:00,"CAPITOL SITE, CEBU CITY"
1823,Jeff,Carter,Male,2.203846,105,8/23/1984 0:00,CEBU CITY
1824,Louise,McCormick,Male,1.835,102,1/3/1985 0:00,ALMAGRO
1825,Chris,Kim,Male,1.972413,102,5/21/1984 0:00,STA. MONICA
1826,Manuel,Holloway,Female,1.885,78,1/27/1985 0:00,CONSOLACION
1827,Max,Marshall,Male,2.044827,108,2/24/1983 0:00,MANDAUE CITY
1828,Amanda,Campbell,Male,1.846153,102,1/27/1984 0:00,MANDAUE CITY
1829,Beulah,Wallace,Male,2.479166,92,8/10/1984 0:00,MOALBOAL
1830,Lida,Vaughn,Female,1.831034,92,12/23/1984 0:00,LAPU-LAPU CITY
1831,Jeffrey,Farmer,Female,2.466666,91,3/10/1984 0:00,NAGA
1832,Bryan,Hart,Female,2.642857,94,3/25/1984 0:00,LAPU-LAPU CITY
1833,Adeline,Griffith,Male,1.948,111,4/27/1984 0:00,MANDAUE CITY
1834,Mayme,Woods,Female,1.924,124,9/26/1984 0:00,LAPU-LAPU CITY
1835,Marian,Coleman,Male,1.751724,105,12/30/1984 0:00,CEBU CITY
1836,Carl,Bennett,Male,1.8,99,10/18/1984 0:00,CEBU CITY
1837,Olga,Wright,Female,2.16923,92,4/7/1984 0:00,CEBU CITY
1838,Luis,Briggs,Male,2.076923,113,4/14/1984 0:00,CEBU CITY
1839,May,Meyer,Female,2.275862,98,12/28/1983 0:00,PINAMUNGAJAN
1840,Iva,Sandoval,Female,1.806896,104,12/12/1983 0:00,PINAMUNGAJAN
1841,Caleb,Hanson,Male,2.529166,83,9/30/1984 0:00,CEBU CITY
1842,Marcus,Daniels,Female,2.7,72,3/8/1984 0:00,MANDAUE CITY
1843,Trevor,Foster,Male,2.186206,91,12/13/1984 0:00,LAPU-LAPU CITY
1844,Andrew,Sandoval,Male,2.154166,112,1/15/1984 0:00,SAN FERNANDO
1845,Charles,Peterson,Female,2.2125,94,12/23/1983 0:00,CEBU CITY
1846,Cecelia,Rose,Female,2.272222,79,8/20/1984 0:00,CEBU CITY
1847,Ophelia,Harper,Female,1.792307,107,7/5/1984 0:00,CEBU CITY
1848,Gerald,Stokes,Female,2.25,101,5/12/1984 0:00,TUDELA
1849,Winnie,Todd,Female,2.45,107,4/13/1984 0:00,CEBU CITY
1850,Harriett,Austin,Male,1.723076,101,2/29/1984 0:00,MINGLANILLA
1851,Oscar,Wagner,Male,2.123076,95,9/3/1984 0:00,CEBU CITY
1852,Viola,Williams,Male,2.49,104,5/2/1985 0:00,GAMAY
1853,Mollie,Baker,Male,2.573913,86,12/4/1983 0:00,SIBONGA
1854,Aaron,Allen,Male,2.296,93,10/13/1984 0:00,CEBU CITY
1855,Nell,Morgan,Male,2.1,94,9/25/1984 0:00,CALBAYOG CITY
1856,Stanley,Bridges,Female,2.015384,105,8/15/1984 0:00,MANDAUE
1857,Marguerite,Norman,Female,1.757692,94,7/11/1985 0:00,BANTAYAN
1858,Rosetta,Lyons,Female,1.66923,108,6/13/1984 0:00,MADRIDEJOS
1859,Mae,Cortez,Female,2.188461,91,5/12/1984 0:00,CEBU CITY
1860,Warren,Bell,Female,2.106896,94,9/4/1984 0:00,ORMOC CITY
1861,Mayme,Nguyen,Male,2.288461,99,1/19/1984 0:00,CEBU CITY
1862,Derrick,Moran,Female,1.875862,85,7/14/1984 0:00,"CONSOLACION,"
1863,Lucinda,Ferguson,Female,1.895652,87,2/19/1984 0:00,Lapu-lapu City
1864,Alexander,Logan,Female,1.772,109,10/3/1984 0:00,LAPU-LAPU CITY
1865,Julia,Butler,Male,2.586956,102,3/14/1984 0:00,MATAG-OB
1866,Don,Powell,Female,2.227586,100,5/27/1984 0:00,DANAO CITY
1867,Luella,Moore,Female,1.956521,90,9/29/1984 0:00,LILOAN
1868,Luis,McKinney,Male,2.444827,76,2/5/1984 0:00,JAGNA
1869,Marie,Brewer,Female,1.476923,107,8/14/1984 0:00,SAN JUAN (CABALIAN)
1870,Francisco,Sutton,Female,1.748275,106,7/9/1984 0:00,CEBU CITY
1871,John,Frank,Female,2.5,84,9/14/1984 0:00,MASBATE CITY
1872,Sara,Taylor,Male,2.1,91,2/22/1984 0:00,LAPU-LAPU CITY
1873,Sara,Maldonado,Female,2.189655,99,11/5/1983 0:00,MATI
1874,Adam,Peterson,Male,2.266666,105,7/27/1984 0:00,LAPU-LAPU CITY
1875,Tom,Anderson,Female,2.023076,92,12/12/1984 0:00,MADRIDEJOS
1876,Clifford,Matthews,Female,1.647058,75,10/21/1984 0:00,LAPU-LAPU CITY
1877,Willie,Beck,Male,2.127586,99,4/8/1984 0:00,DALAGUETE
1878,Andrew,Hill,Male,2.630769,88,3/19/1985 0:00,TALISAY
1879,Tyler,Soto,Female,2.723529,87,9/29/1984 0:00,LAPU-LAPU CITY
1880,Lida,Byrd,Female,1.472,106,5/15/1985 0:00,CEBU CITY
1881,Jane,Daniel,Female,1.388461,105,8/23/1984 0:00,Buenavista
1882,Larry,Graham,Male,2.125,91,12/19/1983 0:00,CONSOLACION
1883,Rachel,Jacobs,Male,2.020833,108,4/6/1984 0:00,MOLAVE
1884,Annie,Collins,Female,1.366666,113,11/15/1984 0:00,Molave
1885,Gordon,Underwood,Female,2.045833,95,8/1/1984 0:00,MOLAVE
1886,Jesus,Hunter,Male,2.526923,94,2/16/1985 0:00,ORMOC CITY
1887,Alexander,Castillo,Male,2.05,97,8/11/1984 0:00,CEBU CITY
1888,Caleb,Lindsey,Female,2.517647,89,11/22/1983 0:00,LAPU-LAPU CITY
1889,Mable,Hawkins,Male,2.491666,92,6/14/1984 0:00,LAPU-LAPU CITY
1890,Vera,Reeves,Male,2.168965,98,12/12/1984 0:00,LAPU-LAPU CITY
1891,Ellen,Allen,Female,2.208333,85,2/11/1985 0:00,SAMBOAN
1892,Harry,Tucker,Male,0,89,2/6/1984 0:00,DAAN-BANTAYAN
1893,Adelaide,Alvarez,Female,1.975,112,6/3/1984 0:00,CEBU CITY
1894,Dennis,Cook,Male,1.826086,87,11/26/1984 0:00,DAAN-BANTAYAN
1895,Chris,Gibson,Female,2.080769,99,4/11/1984 0:00,BATO
1896,Mark,Taylor,Female,2.172413,89,7/8/1984 0:00,OSLOB
1897,Nancy,Shaw,Female,2.068965,95,12/27/1983 0:00,LILO-AN
1898,Katie,Castro,Female,2.404,89,8/31/1984 0:00,COMPOSTELA
1899,Dora,Banks,Female,2.241379,84,10/12/1984 0:00,DANAO CITY
1900,Alfred,Larson,Female,1.856,102,10/6/1984 0:00,LAPU-LAPU CITY
1901,Clifford,Williamson,Male,2.365517,90,4/29/1984 0:00,PANAON
1902,Jim,Abbott,Female,1.9375,109,1/22/1984 0:00,TALISAY CITY
1903,Louisa,Curry,Male,2.55,77,6/8/1984 0:00,GENERAL SANTOS CITY
1904,Raymond,Knight,Male,2.88,92,6/23/1984 0:00,Bogo City
1905,Cory,Obrien,Female,1.7875,104,11/15/1985 0:00,MEDELLIN
1906,Linnie,Lloyd,Male,2.275862,110,11/19/1983 0:00,MANDAUE CITY
1907,Jimmy,Brady,Male,1.68,79,3/22/1984 0:00,ORMOC CITY
1908,Lola,Cohen,Female,2.344827,100,4/16/1984 0:00,"TUDELA,"
1909,Terry,Hawkins,Female,2.2,95,6/25/1984 0:00,MAASIN CITY
1910,Phoebe,Flowers,Female,2.344827,97,4/28/1984 0:00,MANDAUE CITY
1911,Shawn,Brooks,Male,2.073076,105,9/30/1984 0:00,QUEZON
1912,Rosie,Dennis,Male,2.307692,105,6/26/1984 0:00,LILO-AN
1913,Vernon,Hall,Male,1.892,91,10/25/1984 0:00,LAPU-LAPU CITY
1914,Vincent,Gonzales,Male,2.286206,90,9/13/1985 0:00,JETAFE
1915,Lois,Pena,Female,2.441666,85,12/11/1983 0:00,CEBU CITY
1916,May,Walters,Male,2.403846,85,4/3/1984 0:00,CEBU CITY
1917,Herbert,Hunter,Female,2.112,82,5/21/1984 0:00,AURORA
1918,Andre,Walker,Male,2.48,95,4/10/1984 0:00,TALISAY CITY
1919,Herman,Williamson,Female,2.465384,91,6/3/1984 0:00,NAGA
1920,Violet,Sparks,Female,2.593103,94,9/18/1984 0:00,CEBU CITY
1921,Patrick,Gilbert,Male,2.224137,101,1/30/1984 0:00,MANDAUE CITY
1922,Anne,Harper,Female,2.538461,103,2/24/1984 0:00,"SIBONGA,"
1923,Rena,Graves,Male,2.344827,82,10/13/1983 0:00,SIBONGA
1924,Don,Mills,Male,1.575,91,12/3/1984 0:00,SURIGAO CITY
1925,Seth,Leonard,Male,2.180769,95,12/13/1983 0:00,TALISAY CITY
1926,Sam,Rodgers,Male,2.168965,110,1/24/1985 0:00,PINAMUNGAHAN
1927,Addie,Rogers,Female,1.660869,108,11/14/1984 0:00,CATARMAN
1928,Lillie,Ortiz,Female,1.604166,106,4/1/1984 0:00,MANDAUE CITY
1929,Eliza,Mack,Male,2.592307,73,9/21/1984 0:00,CONSOLACION
1930,Ella,Ramos,Male,1.530769,106,6/8/1984 0:00,CEBU CITY
1931,Antonio,Gutierrez,Male,2.71875,106,3/17/1984 0:00,CEBU CITY
1932,Gabriel,Sanchez,Male,1.4,97,3/18/1985 0:00,CEBU CITY
1933,Violet,Fitzgerald,Female,1.884615,93,10/31/1984 0:00,BUENAVISTA
1934,Ola,Howell,Male,1.908695,106,11/3/1983 0:00,MANDAUE CITY
1935,Gregory,Gilbert,Male,2.357692,96,12/25/1983 0:00,CONSOLACION
1936,Alan,Hopkins,Male,2.55,82,11/12/1984 0:00,HILONGOS
1937,Eleanor,Robertson,Female,2.455172,88,8/21/1984 0:00,CEBU CITY
1938,Bryan,Santos,Female,2.080769,85,5/20/1984 0:00,LAPU-LAPU CITY
1939,Leo,Hernandez,Male,1.886956,105,5/17/1984 0:00,OSLOB
1940,Myrtie,Lambert,Male,2.75,101,8/8/1984 0:00,MANDAUE CITY
1941,Maria,Black,Female,1.742307,113,4/13/1984 0:00,CEBU CITY
1942,Tommy,Pittman,Male,2.72,83,3/2/1984 0:00,CONSOLACION
1943,Catherine,Nash,Male,1.361538,116,6/2/1984 0:00,TALISAY
1944,Rachel,Nichols,Female,2.242307,105,6/20/1984 0:00,MALABUYOC
1945,Cora,Moody,Male,1.95862,90,12/29/1983 0:00,CEBU CITY
1946,Seth,Frazier,Male,1.996153,104,3/22/1984 0:00,MANDAUE CITY
1947,Danny,Carpenter,Female,2.668421,102,11/7/1984 0:00,Cantillan
1948,Jeremy,Morton,Female,0,107,3/3/1984 0:00,BALAMBAN
1949,Olga,Higgins,Female,2.346153,91,12/19/1984 0:00,CEBU CITY
1950,Glenn,Gross,Female,1.645833,118,8/25/1984 0:00,BAYBAY
1951,Don,Kelly,Female,1.984615,102,8/11/1984 0:00,CONSOLACION
1952,Caroline,Howard,Female,1.873076,102,4/7/1984 0:00,TALISAY CITY
1953,Alberta,Howell,Male,2.370833,102,4/14/1985 0:00,CAMOTES
1954,Glen,Hunter,Male,1.77931,102,5/7/1984 0:00,CEBU CITY
1955,Theresa,Bryan,Male,2.666666,97,12/4/1983 0:00,MANDAUE CITY
1956,Joseph,Baker,Female,2.320833,83,10/20/1984 0:00,STA. FE
1957,Joshua,Weaver,Female,1.708333,120,5/24/1984 0:00,"CEBU CITY,"
1958,Antonio,Wells,Male,2.351724,111,5/31/1984 0:00,DOLORES
1959,Jerome,Floyd,Female,2.434482,105,9/22/1984 0:00,LILOAN
1960,Alberta,Mills,Female,2.573913,76,2/4/1985 0:00,NAVAL
1961,Dustin,Barrett,Female,1.72,98,10/26/1984 0:00,TANDAG
1962,Darrell,Watts,Male,1.976923,105,5/11/1984 0:00,MANDAUE CITY
1963,Myra,Jones,Male,1.603846,97,9/25/1984 0:00,MANDAUE CITY
1964,Sam,Graham,Female,1.846153,99,8/22/1984 0:00,MANDAUE CITY
1965,Amelia,Stone,Female,1.907692,96,1/21/1984 0:00,TALISAY CITY
1966,Marie,Holt,Female,2.330434,84,2/11/1984 0:00,LAPU-LAPU CITY
1967,Madge,Mendoza,Male,2.25,93,7/28/1984 0:00,CALBAYOG CITY
1968,Fred,Davis,Female,1.568965,104,5/23/1984 0:00,ALANGALANG
1969,Billy,Lopez,Male,1.973076,99,8/21/1984 0:00,LAPU-LAPU CITY
1970,Susan,Wong,Female,2.333333,96,8/12/1984 0:00,LILOAN
1971,Bertha,Tran,Male,2.2875,101,3/8/1984 0:00,LAPU-LAPU CITY
1972,Florence,Fernandez,Female,2.390909,91,5/27/1984 0:00,TUBIGON
1973,Mathilda,Greer,Female,2.322727,88,12/24/1984 0:00,NAGA
1974,Alice,Rios,Female,1.641379,108,2/13/1984 0:00,LAPU-LAPU CITY
1975,Louis,Lowe,Male,2.392307,104,8/15/1983 0:00,CEBU CITY
1976,Alvin,Castillo,Male,2.595652,83,11/28/1983 0:00,MANDAON
1977,Arthur,Herrera,Female,2.376923,90,9/1/1984 0:00,COMPOSTELA
1978,Alta,Gomez,Female,1.880769,96,11/20/1985 0:00,BOGO
1979,Edwin,McKinney,Female,2.496153,97,6/26/1990 0:00,MINGLANILLA
1980,Nancy,Castillo,Male,2.021739,99,3/17/1985 0:00,LAPU-LAPU CITY
1981,Rachel,Martin,Female,1.852173,94,9/9/1984 0:00,BANTAYAN ISLAND
1982,Ronnie,Gibson,Male,2.3375,92,12/19/1983 0:00,MANDAUE CITY
1983,Lula,Fleming,Female,2.320689,105,9/25/1984 0:00,LAPU-LAPU CITY
1984,Ada,Rodriguez,Male,2.67931,86,8/15/1984 0:00,SAN CARLOS CITY
1985,Callie,Newton,Male,2.753846,89,2/29/1984 0:00,CARCAR
1986,Winifred,Perry,Male,2.430434,91,5/10/1984 0:00,TALISAY CITY
1987,Jonathan,Terry,Female,1.815384,108,6/27/1984 0:00,MANDAUE CITY
1988,Caroline,Dunn,Female,2.05,101,4/19/1985 0:00,TOLEDO CITY
1989,Louise,Reynolds,Male,1.726923,107,8/30/1984 0:00,MINGLANILLA
1990,Hallie,Salazar,Female,1.788461,105,4/13/1984 0:00,CEBU CITY
1991,Hallie,Duncan,Female,2.408333,94,10/11/1984 0:00,SAN JOSE
1992,Hallie,French,Male,1.53913,91,9/9/1984 0:00,CEBU CITY
1993,Ola,Walsh,Female,2.679166,74,3/12/1984 0:00,CEBU CITY
1994,Eric,Long,Female,1.886956,92,8/26/1984 0:00,MANDAUE CITY
1995,Jeanette,Barber,Male,2.668965,90,11/22/1984 0:00,LARENA
1996,Katherine,Alvarado,Female,2.229166,107,12/8/1984 0:00,"DUMANJUG, CEBU 6035"
1997,Luke,Herrera,Male,2.175,94,12/27/1983 0:00,CONSOLACION
1998,Harriett,Andrews,Female,2.315384,107,4/27/1984 0:00,TUBIGON
1999,Alice,Jenkins,Male,2.165384,93,8/2/1984 0:00,TUBIGON
2000,Lottie,Huff,Male,1.5,105,7/10/1983 0:00,CEBU CITY
2001,Jon,Perry,Female,1.523076,97,12/1/1983 0:00,CONSOLACION
2002,Elsie,McKinney,Female,2.304347,92,7/11/1984 0:00,MERIDA
2003,Lelia,Reese,Male,1.920833,97,2/23/1984 0:00,LILO-AN
2004,Dorothy,Sims,Male,2.1875,98,11/22/1984 0:00,LAPU-LAPU CITY
2005,Martin,Nguyen,Male,2.551724,83,4/1/1985 0:00,COMPOSTELA
2006,Carrie,Wagner,Female,2.604,91,8/30/1984 0:00,LAPU-LAPU CITY
2007,Lucas,Terry,Male,1.592307,99,3/9/1984 0:00,CORDOVA
2008,Clifford,Sims,Male,2.203448,93,4/7/1984 0:00,PINAMUNGAJAN
2009,Sarah,Nash,Male,1.84,108,5/25/1984 0:00,"MANDAUE CITY,"
2010,Winifred,Figueroa,Female,1.906896,99,9/1/1984 0:00,TALISAY CITY
2011,Emily,Powers,Female,2.036,89,2/27/1985 0:00,LAS NIEVES
2012,Joshua,Neal,Female,2.175,91,2/19/1984 0:00,LILOAN
2013,Corey,Thornton,Male,1.375,98,12/23/1984 0:00,TALISAY CITY
2014,Gussie,Simmons,Female,1.779166,105,5/31/1984 0:00,TALISAY CITY
2015,Earl,Graves,Male,1.615384,107,9/25/1984 0:00,CARMEN
2016,Peter,Fletcher,Male,2.680769,89,4/14/1983 0:00,CONSOLACION
2017,Rena,Berry,Male,1.573076,112,11/10/1984 0:00,TALISAY CITY
2018,Bryan,Mathis,Female,1.861538,103,2/5/1984 0:00,CEBU CITY
2019,Jim,Gomez,Male,2.8,82,4/12/1984 0:00,TALISAY CITY 6045 CEBU
2020,Estella,Cortez,Male,2.4,101,3/10/1984 0:00,"DAANBANTAYAN,"
2021,Ricardo,Hammond,Male,1.957142,114,3/2/1984 0:00,CEBU CITY
2022,Tom,Craig,Female,1.9,105,7/30/1984 0:00,CONSOLACION
2023,Corey,Wood,Female,2.495833,84,8/10/1984 0:00,CEBU CITY
2024,Vernon,Schwartz,Male,1.989655,99,6/8/1984 0:00,LILO-AN
2025,Timothy,Young,Female,1.942857,77,10/12/1984 0:00,CEBU CITY
2026,Sadie,Gray,Female,1.882608,91,9/6/1984 0:00,TALISAY CITY
2027,Ethel,Estrada,Female,2.232,82,6/11/1984 0:00,LILO-AN
2028,Gene,Lucas,Female,1.453846,104,5/26/1984 0:00,LAPU-LAPU CITY
2029,Benjamin,Stevenson,Male,2.591304,89,4/13/1984 0:00,SAN FERNANDO
2030,Daniel,McKinney,Female,1.870833,101,5/11/1984 0:00,CEBU CITY
2031,Etta,Carter,Female,2.47931,83,7/28/1984 0:00,LAPU-LAPU CITY
2032,Lula,Todd,Female,1.972,84,9/19/1984 0:00,BORBON
2033,Blanche,Taylor,Male,2.046153,94,1/3/1984 0:00,CEBU CITY
2034,Olivia,Curry,Male,2.2,112,10/3/1984 0:00,ZAMBOANGA DEL NORTE
2035,Hallie,Young,Female,2.207692,107,9/9/1984 0:00,BARILI
2036,Rosie,Castillo,Female,1.9,97,8/1/1985 0:00,MOALBOAL
2037,Nelle,White,Female,1.93,114,5/3/1984 0:00,CEBU CITY
2038,Caleb,Bowers,Female,1.923076,96,8/23/1984 0:00,CONSOLACION
2039,Justin,Stokes,Female,2.7,92,6/24/1984 0:00,LAPU-LAPU CITY
2040,Logan,Hawkins,Female,2.228571,97,5/13/1984 0:00,CEBU CITY
2041,Edward,Jones,Male,2.40909,91,7/22/1984 0:00,BANTAYAN
2042,Effie,Schneider,Male,1.780769,110,11/26/1984 0:00,LAPU-LAPU CITY
2043,Mary,Boone,Male,1.630769,98,1/17/1984 0:00,CEBU CITY
2044,Erik,McCoy,Female,1.714285,100,12/15/1984 0:00,COMPOSTELA
2045,Nettie,Harmon,Female,2.811764,85,10/25/1984 0:00,CEBU CITY
2046,Angel,Fleming,Female,2.117391,101,11/18/1983 0:00,MANDAUE CITY
2047,Marion,Banks,Female,2.573076,84,8/25/1984 0:00,MANDAUE CITY
2048,Betty,Doyle,Male,2.55,102,1/7/1985 0:00,Talisay City
2049,Wayne,Cross,Female,1.384615,93,12/24/1983 0:00,CEBU CITY
2050,Steven,Moreno,Female,1.342857,102,11/1/1984 0:00,TALISAY CITY
2051,Betty,Wilson,Male,2.616666,94,10/9/1984 0:00,LAPU-LAPU CITY
2052,Ella,Garner,Female,2.031578,111,4/11/1984 0:00,CEBU CITY
2053,Eugenia,Bryant,Male,2.245833,104,1/31/1983 0:00,CEBU CITY
2054,Lillie,Brady,Female,2.557692,76,4/28/1984 0:00,CEBU CITY
2055,Lina,Reyes,Male,1.957142,97,12/27/1983 0:00,MINGLANILLA
2056,Sarah,Fisher,Female,1.746153,85,1/12/1984 0:00,MANDAUE CITY
2057,Phillip,Mann,Female,2.194736,101,12/3/1982 0:00,TALISAY CITY
2058,Vincent,Fowler,Female,2.4,86,6/28/1983 0:00,CEBU CITY
2059,Phoebe,Barnett,Female,1.726315,104,2/26/1984 0:00,TUDELA
2060,Oscar,Benson,Female,2.135294,112,2/16/1984 0:00,CEBU CITY
2061,Bernice,Jennings,Female,2.588888,88,12/7/1984 0:00,CEBU CITY
2062,Roger,Roberson,Female,1.825,105,6/25/1984 0:00,MANDAUE CITY
2063,Garrett,Brock,Male,2.354545,99,8/15/1984 0:00,MANDAUE CITY
2064,Teresa,Ortiz,Male,2.095652,98,5/9/1983 0:00,SOGOD
